name,last_update,url,path
"Fjöldi starfandi í atvinnugreinum samkvæmt skrám eftir árum, kyni, aldri og bakgrunni 2008-2022",2023-10-20T10:41:24Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/vinnumarkadur/vinnuaflskraargogn/VIN10030.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Menntun - Vinnumarkaður - Laus störf - Vinnuafl - skráargögn
"Fjöldi starfandi í atvinnugreinum samkvæmt skrám eftir ársfjórðungum, kyni, aldri og bakgrunni 2008-2023",2023-10-20T10:41:24Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/vinnumarkadur/vinnuaflskraargogn/VIN10031.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Menntun - Vinnumarkaður - Laus störf - Vinnuafl - skráargögn
"Fjöldi starfandi í atvinnugreinum samkvæmt skrám eftir mánuðum, kyni, aldri og bakgrunni 2008-2023",2023-10-20T10:41:24Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/vinnumarkadur/vinnuaflskraargogn/VIN10032.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Menntun - Vinnumarkaður - Laus störf - Vinnuafl - skráargögn
Breytingar á samræmdri vísitölu neysluverðs frá 2005,2023-10-20T09:00:28Z,http://px.hagstofa.is/pxis/api/v1/is/Efnahagur/visitolur/2_samraemdvnv/samraemdvnv/VIS02000.px,Efnahagur - Fjármál hins opinbera - Þjóðhagsreikningar - Þjóðhagsspá - Utanríkisverslun - Vinnumagn og framleiðni - Verðlag - Vísitala neysluverðs - Byggingarvísitala - Samræmd vísitala neysluverðs
Samræmd vísitala neysluverðs eftir löndum og mánuðum frá 2015,2023-10-20T09:00:28Z,http://px.hagstofa.is/pxis/api/v1/is/Efnahagur/visitolur/2_samraemdvnv/samraemdvnv/VIS02002.px,Efnahagur - Fjármál hins opinbera - Þjóðhagsreikningar - Þjóðhagsspá - Utanríkisverslun - Vinnumagn og framleiðni - Verðlag - Vísitala neysluverðs - Byggingarvísitala - Samræmd vísitala neysluverðs
"Sundurliðun breytinga meginflokka, september 2022-2023",2023-10-20T09:00:28Z,http://px.hagstofa.is/pxis/api/v1/is/Efnahagur/visitolur/2_samraemdvnv/samraemdvnv/VIS02100.px,Efnahagur - Fjármál hins opinbera - Þjóðhagsreikningar - Þjóðhagsspá - Utanríkisverslun - Vinnumagn og framleiðni - Verðlag - Vísitala neysluverðs - Byggingarvísitala - Samræmd vísitala neysluverðs
Undirvísitölur samræmdrar vísitölu neysluverðs fyrir Ísland frá 2015,2023-10-20T09:00:28Z,http://px.hagstofa.is/pxis/api/v1/is/Efnahagur/visitolur/2_samraemdvnv/samraemdvnv/VIS02202.px,Efnahagur - Fjármál hins opinbera - Þjóðhagsreikningar - Þjóðhagsspá - Utanríkisverslun - Vinnumagn og framleiðni - Verðlag - Vísitala neysluverðs - Byggingarvísitala - Samræmd vísitala neysluverðs
Tekjur eftir sveitarfélögum og kyni 1990-2022 - Sveitarfélagaskipan 1. janúar 2023,2023-10-20T09:00:28Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/3_tekjur/1_tekjur_skattframtol/TEK01002.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Vísitölur launa - Tekjur - Staðgreiðsluskyldar greiðslur - Tekjur - skattframtöl
Íbúar einstakra sveitarfélaga 1910-2020 - Sveitarfélagaskipan hvers árs. Árslokatölur,2023-10-20T09:00:28Z,http://px.hagstofa.is/pxis/api/v1/is/Sogulegar/sogul_mannfjoldi/SOG01031.px,Sogulegar - Byggingariðnaður - Fæddir og dánir - Ferðaþjónusta - Fjármál hins opinbera - Giftingar og skilnaðir - Kosningar - Landbúnaður - Mannfjöldi
Farþegar um Keflavíkurflugvöll eftir ríkisfangi og mánuðum 2002-2023,2023-10-19T09:00:37Z,http://px.hagstofa.is/pxis/api/v1/is/Atvinnuvegir/ferdathjonusta/farthegar/1_farthegar/SAM02001.px,Atvinnuvegir - Ferðaþjónusta - Farþegar til landsins
Flughreyfingar um Keflavíkurflugvöll eftir mánuðum 2017-2023,2023-10-19T09:00:37Z,http://px.hagstofa.is/pxis/api/v1/is/Atvinnuvegir/ferdathjonusta/ferdaidnadurhagvisar/SAM08048.px,Atvinnuvegir - Ferðaþjónusta - Farþegar til landsins - Hagvísar í ferðaþjónustu
Bílaleigubílar eftir skráningu og mánuðum 2010-2023,2023-10-19T09:00:37Z,http://px.hagstofa.is/pxis/api/v1/is/Atvinnuvegir/ferdathjonusta/ferdaidnadurhagvisar/SAM08049.px,Atvinnuvegir - Ferðaþjónusta - Farþegar til landsins - Hagvísar í ferðaþjónustu
Dreifing atvinnutekna eftir kyni og aldri 1990-2022,2023-10-19T09:00:37Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/3_tekjur/1_tekjur_skattframtol/TEK01007.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Vísitölur launa - Tekjur - Staðgreiðsluskyldar greiðslur - Tekjur - skattframtöl
